	diapaused_ICM	mTor_ICM	paused_E14	cluster	avg_logfc
mmu-miR-1839-5p	2.0260155011234	1.5978297493590805	1.63265051990513	1	1.7521652567958703
mmu-miR-205-5p	0.573463117962362	3.85087437579556	0.735486506583779	8	1.7199413334472338
mmu-miR-26b-5p	0.563257154946317	1.4569487415980402	3.08213571145658	1	1.7007805360003125
mmu-miR-23a-3p	1.31305623479825	2.9790068242222296	0.551530529559308	8	1.6145311961932627
mmu-miR-27b-3p	1.18623593912577	2.90850496123386	0.7086919909072779	8	1.6011442970889693
mmu-miR-676-3p	2.49775402424665	1.41943332770841	0.71266348419617	1	1.54328361205041
mmu-miR-200b-5p	1.8621378994934497	0.391646779090275	2.12052288838421	1	1.458102522322645
mmu-miR-200b-3p	1.23198642075027	1.41520308681276	1.4233482110629698	1	1.3568459062086664
mmu-miR-200c-3p	1.18701579102475	0.978491146807933	1.86817822559835	1	1.3445617211436778
mmu-miR-30b-5p	1.40725835304099	2.20402615537196	0.406118700755886	8	1.3391344030562786
mmu-miR-200a-3p	1.52171204216284	1.44912164076972	0.8386758256013729	1	1.2698365028446443
mmu-miR-141-3p	1.5801735706172402	1.67425929594462	0.539699221675942	1	1.2647106960792673
mmu-miR-148a-3p	0.8387474439276241	1.16170371846325	1.72782442509445	1	1.2427585291617746
mmu-miR-30d-5p	1.32338581078125	1.12656357537941	0.911986628759	1	1.1206453383065533
mmu-miR-429-3p	1.4604819489844998	0.447465136448086	1.3991240537666398	1	1.1023570463997419
mmu-let-7d-5p	1.9944761625411	0.392090108665007	0.781503948391078	1	1.056023406532395
mmu-miR-98-5p	1.51974983784722	1.33010499629048	0.308966149068472	1	1.0529403277353906
mmu-miR-503-3p	0.651439363913754	1.3889927540866598	0.965473444041463	1	1.0019685206806257
mmu-miR-434-3p	1.01230252838678	1.19765997205317	0.517822572922114	1	0.909261691120688
mmu-miR-532-3p	0.91912721895203	0.9247618826145172	0.788105554657854	1	0.8773315520748004
mmu-miR-322-5p	0.6885970507406058	1.78142303902748	0.0023325213610806	8	0.8241175370430555
mmu-let-7g-5p	1.0432832970979	0.88517502044738	0.542781188777234	1	0.8237465021075047
mmu-miR-224-5p	1.6020097741838797	0.277841547104549	0.409597406606649	1	0.7631495759650259
mmu-miR-574-5p	0.3965355544224671	0.953551031891741	0.0835201403602403	1	0.47786890889148276
