cluster	mean.diapaused_ICM	mean.mTor_ICM	mean.paused_E14	mean_profile	N_tot
0	0.44984688775682824	0.13543944075948602	-0.8632803656045397	discordant	62
1	1.4814517798491906	1.1205908863054383	0.7686569192383744	positive	23
2	0.18533913660274107	-1.430975691671945	-2.248413577887463	discordant	14
3	-0.7088955728199962	-0.5008403064007377	0.10760419829186718	discordant	67
4	0.049790309511874534	0.1400594217728874	0.6762676671650069	positive	107
5	0.23719265777020626	-0.055312528722289395	-3.944389377213641	discordant	26
6	-1.7741677029664173	-1.8552607934065284	0.4672806263852379	discordant	13
7	-1.9421007842093365	-2.3221728593488935	-4.382110168027137	negative	3
8	0.4765717567891885	2.8110072582350436	0.2902679041644944	positive	12
