cluster	mean.diapaused_ICM	mean.mTor_ICM	mean.diapaused_TE	mean.mTor_TE	mean_profile	N_tot
0	-0.12777599017034708	0.36049994036539734	0.8429924135417145	0.5344406659950861	discordant	33
1	-0.10187926037099194	-0.056224355644007594	-0.08720074024383224	-0.02274567703207121	negative	242
2	1.4364968037551378	1.9646908246750798	1.4660112942610783	2.0187003109429233	positive	10
3	0.152811570445179	-1.0745501266227986	-0.3574408870100926	-1.6417778658752755	discordant	31
4	1.4524678650491343	1.320279250592131	0.6819140975660708	-0.08958604451149614	discordant	20
5	0.8723938461077233	0.6152547981791131	-0.4536854369213407	-0.5200244080603555	discordant	31
6	-2.004891707421459	-1.8817109741621656	0.03602972506295669	0.4635796937071062	discordant	15
7	-1.2827544009543022	-1.1849423790148335	-1.7041057036587322	-0.6374785015527246	negative	13
8	-0.3455737417211688	1.9340888434099914	-0.6622440022143055	0.7515721817319764	discordant	11
