index	id	sample	celltype	condition	replicate	experiment	cond_ct
0	tw1	wtTS1	TS	wt	R1	ivt	wt_TS
1	tp1	pausedTS1	TS	paused	R1	ivt	paused_TS
2	tw2	wtTS2	TS	wt	R2	ivt	wt_TS
3	tp2	pausedTS2	TS	paused	R2	ivt	paused_TS
4	tw3	wtTS3	TS	wt	R3	ivt	wt_TS
5	tp3	pausedTS3	TS	paused	R3	ivt	paused_TS
6	ew1	wtE141	E14	wt	R1	ivt	wt_E14
7	ep1	pausedE141	E14	paused	R1	ivt	paused_E14
8	ew2	wtE142	E14	wt	R2	ivt	wt_E14
9	ep2	pausedE142	E14	paused	R2	ivt	paused_E14
10	ew3	wtE143	E14	wt	R3	ivt	wt_E14
11	ep3	pausedE143	E14	paused	R3	ivt	paused_E14
12	di1	dICM1	ICM	diapaused	R1	ivv_full	diapaused_ICM
13	di2	dICM2	ICM	diapaused	R2	ivv_full	diapaused_ICM
14	di3	dICM3	ICM	diapaused	R3	ivv_full	diapaused_ICM
15	dt1	dTE1	TE	diapaused	R1	ivv_full	diapaused_TE
16	dt2	dTE2	TE	diapaused	R2	ivv_full	diapaused_TE
17	dt3	dTE3	TE	diapaused	R3	ivv_full	diapaused_TE
18	mi1	mICM1	ICM	mTor	R1	ivv_full	mTor_ICM
19	mi2	mICM2	ICM	mTor	R2	ivv_full	mTor_ICM
20	mi3	mICM3	ICM	mTor	R3	ivv_full	mTor_ICM
21	mt1	mTE1	TE	mTor	R1	ivv_full	mTor_TE
22	mt2	mTE2	TE	mTor	R2	ivv_full	mTor_TE
23	mt3	mTE3	TE	mTor	R3	ivv_full	mTor_TE
24	wi1	wtICM1	ICM	wt	R1	ivv_full	wt_ICM
25	wi2	wtICM2	ICM	wt	R2	ivv_full	wt_ICM
26	wt1	wtTE1	TE	wt	R1	ivv_full	wt_TE
27	wt2	wtTE2	TE	wt	R2	ivv_full	wt_TE
28	ic1	wtICM3	ICM	wt	R3	ivv_test	wt_ICM
29	tc1	wtTE3	TE	wt	R3	ivv_test	wt_TE
